Caduceus version         : 1.00
Caduceus compilation date: Mon Nov 27 17:38:17 CET 2006
Bench execution date     : 29/11/2006
C parsing (good)
  annot.c... GCC ok... caduceus ok... 
  horribilis.c... GCC ok... caduceus ok... 
  hw.c... GCC ok... caduceus ok... 
  obfuscated.c... GCC failed
caduceus ok... 
  types.c... GCC ok... caduceus ok... 
C parsing (bad)
  type_name_1.c... GCC ok... caduceus ok... 
  unbound_type_1.c... GCC ok... caduceus ok... 
  unbound_type_2.c... GCC ok... caduceus ok... 
C parsing/typing (bad)
  array_size_not_int.c... GCC ok... caduceus ok... 
  array_subscript_not_int.c... GCC ok... caduceus ok... 
  break_not_in_a_loop.c... GCC ok... caduceus ok... 
  clash_tag_1.c... GCC ok... caduceus ok... 
  clash_tag_2.c... GCC ok... caduceus ok... 
  continue_not_in_a_loop.c... GCC ok... caduceus ok... 
  goto.c... GCC ok... caduceus ok... 
  incomplete_type_1.c... GCC ok... caduceus ok... 
  incomplete_type_2.c... GCC ok... caduceus ok... 
  incomplete_type_3.c... GCC ok... caduceus ok... 
  member_1.c... GCC ok... caduceus ok... 
  member_2.c... GCC ok... caduceus ok... 
  member_3.c... GCC ok... caduceus ok... 
  member_4.c... GCC ok... caduceus ok... 
  member_5.c... GCC ok... caduceus ok... 
  multiple_storage_class_1.c... GCC ok... caduceus ok... 
  old_style_1.c... GCC ok... caduceus ok... 
  old_style_2.c... GCC ok... caduceus ok... 
  old_style_3.c... GCC ok... caduceus ok... 
  short_long.c... GCC ok... caduceus ok... 
  sign_invalid_1.c... GCC ok... caduceus ok... 
  signed_unsigned.c... GCC ok... caduceus ok... 
  struct_compare.c... GCC ok... caduceus ok... 
  too_long.c... GCC ok... caduceus ok... 
  two_types_1.c... GCC ok... caduceus ok... 
  two_types_2.c... GCC ok... caduceus ok... 
  typedef_initialized_1.c... GCC ok... caduceus ok... 
  undeclared_variable_1.c... GCC ok... caduceus ok... 
  undeclared_variable_2.c... GCC ok... caduceus ok... 
  unsigned_float.c... GCC ok... caduceus ok... 
  warnings.c... GCC ok... caduceus FAILED (accepted a bad file)
C parsing/typing (good)
  Dillon.c... GCC ok... caduceus ok... 
